Type,Scenario,Adjudicator,Adjudicator_Type,ReadingLevel,A1 Score,A2 Score,Comments,Extracted Value Score
Simulated,1,KA,Expert,5th Grade,5,5,,NA
Simulated,1,KA,Expert,8th/9th Grade,5,5,,NA
Simulated,1,KA,Expert,College Level,2,1,"This patient’s quality of life is already compromised to the extent that she is dependent on others for most cares, meaning that further compromise from nephrostomy tubes would be marginal.",NA
Simulated,2,KA,Expert,5th Grade,2,1,"This patient faces a substantial risk of morbidity and mortality from evisceration and/or obstruction should he remain in a less restrictive environment, and that could be worse than the pain he experiences from being in a less restrictive environment.",NA
Simulated,2,KA,Expert,8th/9th Grade,4,1,,NA
Simulated,2,KA,Expert,College Level,2,1,,NA
Simulated,3,KA,Expert,5th Grade,1,5,,NA
Simulated,3,KA,Expert,8th/9th Grade,1,5,,NA
Simulated,3,KA,Expert,College Level,1,5,,NA
Simulated,4,KA,Expert,5th Grade,4,1,This patient was already stuck with needles to obtain blood specimens for the labs that established liver injury. A peripheral IV may have been left behind from one of these draws. It’s difficult to argue that an injection in such an IV would constitute aggressive care.,NA
Simulated,4,KA,Expert,8th/9th Grade,4,1,,NA
Simulated,4,KA,Expert,College Level,4,1,,NA
Simulated,5,KA,Expert,5th Grade,1,1,This patient’s cognitive impairment is potentially reversible.,NA
Simulated,5,KA,Expert,8th/9th Grade,5,5,,NA
Simulated,5,KA,Expert,College Level,1,1,,NA
Simulated,6,KA,Expert,5th Grade,5,5,"This patient was not a good candidate for a procedure (even a trans-anal alternative to rectopexy), regardless of her value profile. She probably would not be able to learn to stop straining, and such a repair would not be durable, and she would return with recurrent prolapse.",NA
Simulated,6,KA,Expert,8th/9th Grade,5,5,,NA
Simulated,6,KA,Expert,College Level,5,5,,NA
Simulated,7,KA,Expert,5th Grade,5,5,"This strikes me as a treatment non-decision, but something that should be done (and was already done) in the scenario.",NA
Simulated,7,KA,Expert,8th/9th Grade,5,5,,NA
Simulated,7,KA,Expert,College Level,5,5,,NA
Simulated,8,KA,Expert,5th Grade,5,5,,NA
Simulated,8,KA,Expert,8th/9th Grade,5,5,,NA
Simulated,8,KA,Expert,College Level,5,5,,NA
Simulated,9,KA,Expert,5th Grade,5,4,This patient’s age is unknown but is relevant to prognostication.,NA
Simulated,9,KA,Expert,8th/9th Grade,5,4,,NA
Simulated,9,KA,Expert,College Level,5,4,,NA
Simulated,10,KA,Expert,5th Grade,5,5,,NA
Simulated,10,KA,Expert,8th/9th Grade,5,5,,NA
Simulated,10,KA,Expert,College Level,5,5,,NA
Simulated,11,KA,Expert,5th Grade,5,5,,NA
Simulated,11,KA,Expert,8th/9th Grade,5,5,,NA
Simulated,11,KA,Expert,College Level,5,5,,NA
Simulated,12,KA,Expert,5th Grade,5,5,,NA
Simulated,12,KA,Expert,8th/9th Grade,5,5,,NA
Simulated,12,KA,Expert,College Level,5,5,,NA
Simulated,13,KA,Expert,5th Grade,5,5,,NA
Simulated,13,KA,Expert,8th/9th Grade,5,5,,NA
Simulated,13,KA,Expert,College Level,5,5,,NA
Simulated,14,KA,Expert,5th Grade,5,5,,NA
Simulated,14,KA,Expert,8th/9th Grade,5,5,Machine availability should have been factored in at this stage. Whether a therapy is medically reasonable for an individual and who should receive the therapy among a list of individuals competing for a scarce resource are separate questions.,NA
Simulated,14,KA,Expert,College Level,5,5,,NA
Simulated,15,KA,Expert,5th Grade,5,5,,NA
Simulated,15,KA,Expert,8th/9th Grade,5,5,,NA
Simulated,15,KA,Expert,College Level,5,5,,NA
Simulated,16,KA,Expert,5th Grade,5,5,,NA
Simulated,16,KA,Expert,8th/9th Grade,5,5,,NA
Simulated,16,KA,Expert,College Level,5,5,,NA
Simulated,17,KA,Expert,5th Grade,5,5,,NA
Simulated,17,KA,Expert,8th/9th Grade,5,5,,NA
Simulated,17,KA,Expert,College Level,5,5,"I do not think organ scarcity should have been factored in, as in the ECMO scenario, but it is worth noting that scarcity of transplant organs is partly a function of how choosy the transplant surgeon is. Surgeons can transplant organs that are not a very good match for the patient by counseling the patient that it’s not a very good match, and the patient may accept the organ anyway, out of a sense of desperation, especially if they’ve been turned down for transplant elsewhere (for example, because of an uncontrolled cause of organ failure). In such a case, the biggest obstacle to transplant isn’t whether the organ is a good match, or whether the patient is a good candidate, but whether the patient has insurance that will pay the surgeon lots of money.",NA
